Age,Annual_Income_LPA,Loan_Amount_LPA,Loan_Term_Months,CIBIL_Score,Employment_Years,Existing_Loans,Education,Employment_Type,Property_Area,Gender,Dependents,Default,Loan_to_Income_Ratio,CIBIL_Band,LTI_Band
60,13.42,24.34,12,631,8,1,Post-Graduate,Salaried,Semi-Urban,Female,2,0,1.814,"580-670
(Good)",1.5-2x
50,3.53,5.3,48,811,7,3,Under-Graduate,Self-Employed,Urban,Female,1,0,1.501,"800+
(Exceptional)",1.5-2x
36,8.47,10.26,36,731,15,0,Post-Graduate,Business,Semi-Urban,Male,2,0,1.211,"670-740
(Very Good)",1-1.5x
29,2.1,6.65,48,673,13,1,Graduate,Salaried,Semi-Urban,Male,0,0,3.167,"670-740
(Very Good)",>3x
42,20.92,38.76,24,671,12,1,Graduate,Self-Employed,Urban,Male,1,0,1.853,"670-740
(Very Good)",1.5-2x
60,5.0,11.45,36,609,12,1,Graduate,Self-Employed,Urban,Female,1,0,2.29,"580-670
(Good)",2-2.5x
40,6.35,14.12,12,677,4,0,Post-Graduate,Salaried,Semi-Urban,Male,2,0,2.224,"670-740
(Very Good)",2-2.5x
44,6.68,16.84,60,698,15,0,Graduate,Freelance,Urban,Female,0,0,2.521,"670-740
(Very Good)",2.5-3x
32,8.64,30.5,48,635,10,0,Graduate,Business,Rural,Male,1,0,3.53,"580-670
(Good)",>3x
32,2.41,9.48,60,716,4,1,Under-Graduate,Salaried,Urban,Female,0,0,3.934,"670-740
(Very Good)",>3x
45,5.98,11.52,24,757,12,0,Post-Graduate,Salaried,Semi-Urban,Female,0,0,1.926,"740-800
(Excellent)",1.5-2x
57,4.04,13.72,36,702,10,1,Post-Graduate,Salaried,Rural,Male,3,0,3.396,"670-740
(Very Good)",>3x
61,2.18,6.92,48,773,18,0,Diploma,Salaried,Rural,Male,0,0,3.174,"740-800
(Excellent)",>3x
45,10.85,27.2,36,655,2,2,Graduate,Self-Employed,Urban,Male,0,0,2.507,"580-670
(Good)",2.5-3x
24,4.86,18.69,48,800,14,3,Post-Graduate,Salaried,Urban,Male,1,1,3.846,"740-800
(Excellent)",>3x
43,6.94,8.34,60,729,6,1,Under-Graduate,Business,Semi-Urban,Male,2,0,1.202,"670-740
(Very Good)",1-1.5x
23,6.68,5.89,48,843,6,0,Post-Graduate,Self-Employed,Urban,Male,1,0,0.882,"800+
(Exceptional)",<1x
45,4.91,17.13,48,900,5,0,Graduate,Self-Employed,Urban,Male,2,0,3.489,"800+
(Exceptional)",>3x
51,19.62,39.97,24,682,2,0,Graduate,Self-Employed,Rural,Female,2,0,2.037,"670-740
(Very Good)",2-2.5x
59,5.83,20.2,24,685,12,0,Under-Graduate,Salaried,Urban,Male,0,0,3.465,"670-740
(Very Good)",>3x
23,2.36,8.56,60,700,6,1,Post-Graduate,Salaried,Urban,Male,1,0,3.627,"670-740
(Very Good)",>3x
42,4.72,3.39,12,767,4,1,Under-Graduate,Self-Employed,Urban,Female,1,0,0.718,"740-800
(Excellent)",<1x
54,8.1,29.1,48,826,17,3,Post-Graduate,Salaried,Semi-Urban,Male,2,0,3.593,"800+
(Exceptional)",>3x
33,8.26,17.09,48,667,7,0,Post-Graduate,Salaried,Semi-Urban,Female,0,0,2.069,"580-670
(Good)",2-2.5x
43,3.12,7.13,36,750,16,1,Under-Graduate,Business,Urban,Female,0,0,2.285,"740-800
(Excellent)",2-2.5x
46,10.48,28.22,60,709,19,1,Post-Graduate,Self-Employed,Urban,Male,2,0,2.693,"670-740
(Very Good)",2.5-3x
48,2.08,7.78,36,769,0,1,Graduate,Salaried,Urban,Male,1,0,3.74,"740-800
(Excellent)",>3x
49,11.92,6.76,36,840,13,0,Post-Graduate,Self-Employed,Semi-Urban,Female,1,0,0.567,"800+
(Exceptional)",<1x
37,2.72,5.9,12,700,16,1,Under-Graduate,Business,Urban,Male,1,0,2.169,"670-740
(Very Good)",2-2.5x
36,5.24,15.23,36,586,9,1,Graduate,Salaried,Rural,Male,0,0,2.906,"580-670
(Good)",2.5-3x
24,11.36,34.41,24,779,11,1,Graduate,Salaried,Urban,Male,1,0,3.029,"740-800
(Excellent)",>3x
58,6.45,18.86,36,653,15,3,Graduate,Freelance,Rural,Male,1,0,2.924,"580-670
(Good)",2.5-3x
